vehicle_id,date,mileage_km,cumulative_mileage_km,engine_hours,load_percentage,route_severity_score,route_severity_label,fault_count,fault_severity_score,operating_stress_index,days_since_last_service,last_service_mileage_km,service_type_last,breakdown_occurred,breakdown_type,data_quality_flag,scenario_tag,vehicle_type,mileage_score,engine_hour_score,load_score,route_severity_score_n,fault_score,service_wear_score,missing_service_history,mileage_score_raw,engine_hour_score_raw,load_score_raw,route_severity_score_n_raw,fault_score_raw,service_wear_score_raw,dcss,risk_level,dcss_delta,top_factors,weight_config,recommended_interval_days,recommended_maintenance_date,recommendation_urgency,recommendation_reason,recommended_by
VH-001,2024-01-01,79.86,45508.86,14.67,51.55,1.93,Low,0,0.0,2.95,31.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,26.62,73.35,51.55,19.3,0.0,100.0,False,26.619999999999997,73.35000000000001,51.55,19.3,0.0,100.0,32.8345,NORMAL,,"[{""factor"": ""engine_hour_score"", ""sub_score"": 73.35, ""contribution"": 11.0025}, {""factor"": ""load_score"", ""sub_score"": 51.55, ""contribution"": 10.31}, {""factor"": ""service_wear_score"", ""sub_score"": 100.0, ""contribution"": 5.0}]",Default,30,2024-01-31,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-02,40.49,45549.35,12.85,79.66,4.01,Medium,0,0.0,5.0,1.0,45508.86,EMERGENCY,1,ENGINE,,NORMAL,BULLDOZER,20.0583,68.8,65.605,29.7,0.0,51.6667,False,13.496666666666668,64.25,79.66,40.099999999999994,0.0,3.3333333333333335,33.9702,NORMAL,1.1357,"[{""factor"": ""load_score"", ""sub_score"": 65.61, ""contribution"": 13.121}, {""factor"": ""engine_hour_score"", ""sub_score"": 68.8, ""contribution"": 10.32}, {""factor"": ""route_severity_score"", ""sub_score"": 29.7, ""contribution"": 5.94}]",Default,30,2024-02-01,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-03,57.15,45606.5,11.94,59.67,4.96,Medium,0,0.0,5.33,2.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,19.7222,65.7667,63.6267,36.3333,0.0,36.6667,False,19.05,59.699999999999996,59.67,49.6,0.0,6.666666666666667,33.6626,NORMAL,-0.3076,"[{""factor"": ""load_score"", ""sub_score"": 63.63, ""contribution"": 12.7253}, {""factor"": ""engine_hour_score"", ""sub_score"": 65.77, ""contribution"": 9.865}, {""factor"": ""route_severity_score"", ""sub_score"": 36.33, ""contribution"": 7.2667}]",Default,30,2024-02-02,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-04,43.83,45650.33,11.63,57.18,4.5,Medium,0,0.0,8.16,3.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,18.4442,63.8625,62.015,38.5,0.0,30.0,False,14.610000000000001,58.15,57.18,45.0,0.0,10.0,33.0268,NORMAL,-0.6358,"[{""factor"": ""load_score"", ""sub_score"": 62.02, ""contribution"": 12.403}, {""factor"": ""engine_hour_score"", ""sub_score"": 63.86, ""contribution"": 9.5794}, {""factor"": ""route_severity_score"", ""sub_score"": 38.5, ""contribution"": 7.7}]",Default,30,2024-02-03,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-05,48.15,45698.49,13.38,51.31,2.97,Low,0,0.0,5.53,4.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,17.9653,64.47,59.874,36.74,0.0,26.6667,False,16.05,66.9,51.31,29.700000000000003,0.0,13.333333333333334,32.1232,NORMAL,-0.9036,"[{""factor"": ""load_score"", ""sub_score"": 59.87, ""contribution"": 11.9748}, {""factor"": ""engine_hour_score"", ""sub_score"": 64.47, ""contribution"": 9.6705}, {""factor"": ""route_severity_score"", ""sub_score"": 36.74, ""contribution"": 7.348}]",Default,30,2024-02-04,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-06,48.16,45746.65,10.1,51.34,5.41,Medium,1,4.08,5.13,5.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,17.6467,62.1417,58.4517,39.6333,4.7467,25.0,False,16.053333333333335,50.5,51.34,54.1,28.479999999999997,16.666666666666664,33.3769,NORMAL,1.2537,"[{""factor"": ""load_score"", ""sub_score"": 58.45, ""contribution"": 11.6903}, {""factor"": ""engine_hour_score"", ""sub_score"": 62.14, ""contribution"": 9.3213}, {""factor"": ""route_severity_score"", ""sub_score"": 39.63, ""contribution"": 7.9267}]",Default,30,2024-02-05,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-07,47.12,45793.77,10.77,29.5,7.44,High,0,0.0,5.48,6.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,17.3695,60.9571,54.3157,44.6,4.0686,24.2857,False,15.706666666666665,53.849999999999994,29.5,74.4,0.0,20.0,33.0985,NORMAL,-0.2784,"[{""factor"": ""load_score"", ""sub_score"": 54.32, ""contribution"": 10.8631}, {""factor"": ""engine_hour_score"", ""sub_score"": 60.96, ""contribution"": 9.1436}, {""factor"": ""route_severity_score"", ""sub_score"": 44.6, ""contribution"": 8.92}]",Default,30,2024-02-06,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-08,55.37,45849.13,9.64,93.91,5.16,Medium,0,0.0,4.96,7.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,16.2033,57.3643,60.3671,49.2143,4.0686,13.3333,False,18.456666666666667,48.2,93.91,51.6,0.0,23.333333333333332,34.0285,NORMAL,0.93,"[{""factor"": ""load_score"", ""sub_score"": 60.37, ""contribution"": 12.0734}, {""factor"": ""route_severity_score"", ""sub_score"": 49.21, ""contribution"": 9.8429}, {""factor"": ""engine_hour_score"", ""sub_score"": 57.36, ""contribution"": 8.6046}]",Default,30,2024-02-07,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-09,65.79,45914.92,13.54,87.5,3.83,Medium,2,6.42,7.02,8.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,17.4081,57.8571,61.4871,48.9571,10.7143,16.6667,False,21.930000000000003,67.69999999999999,87.5,38.3,46.52,26.666666666666668,36.5558,NORMAL,2.5273,"[{""factor"": ""load_score"", ""sub_score"": 61.49, ""contribution"": 12.2974}, {""factor"": ""route_severity_score"", ""sub_score"": 48.96, ""contribution"": 9.7914}, {""factor"": ""engine_hour_score"", ""sub_score"": 57.86, ""contribution"": 8.6786}]",Default,30,2024-02-08,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-10,30.86,45945.78,12.98,57.54,4.63,Medium,1,6.77,6.21,9.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,16.1562,58.6,61.1829,48.4857,17.0886,20.0,False,10.286666666666665,64.9,57.54,46.3,44.62,30.0,38.4659,NORMAL,1.9101,"[{""factor"": ""load_score"", ""sub_score"": 61.18, ""contribution"": 12.2366}, {""factor"": ""route_severity_score"", ""sub_score"": 48.49, ""contribution"": 9.6971}, {""factor"": ""engine_hour_score"", ""sub_score"": 58.6, ""contribution"": 8.79}]",Default,30,2024-02-09,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-11,44.2,45989.98,9.12,78.96,8.14,High,2,4.23,3.85,10.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,16.1738,56.8071,64.2943,53.6857,21.8571,23.3333,False,14.733333333333334,45.599999999999994,78.96,81.4,33.38,33.33333333333333,41.4582,NORMAL,2.9923,"[{""factor"": ""load_score"", ""sub_score"": 64.29, ""contribution"": 12.8589}, {""factor"": ""route_severity_score"", ""sub_score"": 53.69, ""contribution"": 10.7371}, {""factor"": ""engine_hour_score"", ""sub_score"": 56.81, ""contribution"": 8.5211}]",Default,30,2024-02-10,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-12,48.74,46038.72,9.66,49.75,4.57,Medium,1,5.02,6.69,11.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,16.2019,54.15,64.0714,55.9714,26.7314,26.6667,False,16.246666666666666,48.3,49.75,45.7,34.12,36.666666666666664,43.104,NORMAL,1.6458,"[{""factor"": ""load_score"", ""sub_score"": 64.07, ""contribution"": 12.8143}, {""factor"": ""route_severity_score"", ""sub_score"": 55.97, ""contribution"": 11.1943}, {""factor"": ""engine_hour_score"", ""sub_score"": 54.15, ""contribution"": 8.1225}]",Default,30,2024-02-11,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-13,37.91,46076.63,8.52,92.24,5.33,Medium,0,0.0,6.34,12.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,15.7138,53.0214,69.9143,55.8571,22.6629,30.0,False,12.636666666666665,42.6,92.24,53.300000000000004,0.0,40.0,42.9777,NORMAL,-0.1263,"[{""factor"": ""load_score"", ""sub_score"": 69.91, ""contribution"": 13.9829}, {""factor"": ""route_severity_score"", ""sub_score"": 55.86, ""contribution"": 11.1714}, {""factor"": ""engine_hour_score"", ""sub_score"": 53.02, ""contribution"": 7.9532}]",Default,30,2024-02-12,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-14,54.77,46131.39,10.92,80.7,5.24,Medium,2,3.32,6.93,13.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,16.0781,53.1286,77.2286,52.7143,26.6514,33.3333,False,18.256666666666668,54.6,80.7,52.400000000000006,27.919999999999998,43.333333333333336,45.2278,NORMAL,2.2501,"[{""factor"": ""load_score"", ""sub_score"": 77.23, ""contribution"": 15.4457}, {""factor"": ""route_severity_score"", ""sub_score"": 52.71, ""contribution"": 10.5429}, {""factor"": ""fault_score"", ""sub_score"": 26.65, ""contribution"": 7.9954}]",Default,30,2024-02-13,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-15,32.3,46163.69,13.69,73.75,4.19,Medium,1,2.69,4.97,14.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,14.9795,56.0214,74.3486,51.3286,29.5286,36.6667,False,10.766666666666666,68.45,73.75,41.900000000000006,20.139999999999997,46.666666666666664,45.7285,NORMAL,0.5007,"[{""factor"": ""load_score"", ""sub_score"": 74.35, ""contribution"": 14.8697}, {""factor"": ""route_severity_score"", ""sub_score"": 51.33, ""contribution"": 10.2657}, {""factor"": ""fault_score"", ""sub_score"": 29.53, ""contribution"": 8.8586}]",Default,30,2024-02-14,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-16,55.28,46218.97,14.19,68.17,6.19,Medium,0,0.0,6.56,15.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,14.479,56.4857,71.5871,54.7,22.8829,40.0,False,18.426666666666666,70.95,68.17,61.9,0.0,50.0,44.043,NORMAL,-1.6855,"[{""factor"": ""load_score"", ""sub_score"": 71.59, ""contribution"": 14.3174}, {""factor"": ""route_severity_score"", ""sub_score"": 54.7, ""contribution"": 10.94}, {""factor"": ""engine_hour_score"", ""sub_score"": 56.49, ""contribution"": 8.4729}]",Default,30,2024-02-15,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-17,39.51,46258.48,14.21,37.95,4.09,Medium,1,1.81,4.95,16.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,14.891,57.3643,68.7886,53.9286,18.6314,43.3333,False,13.169999999999998,71.05,37.95,40.9,14.860000000000003,53.333333333333336,42.3933,NORMAL,-1.6497,"[{""factor"": ""load_score"", ""sub_score"": 68.79, ""contribution"": 13.7577}, {""factor"": ""route_severity_score"", ""sub_score"": 53.93, ""contribution"": 10.7857}, {""factor"": ""engine_hour_score"", ""sub_score"": 57.36, ""contribution"": 8.6046}]",Default,30,2024-02-16,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-18,48.32,46306.8,12.78,74.59,2.91,Low,2,5.5,2.92,17.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,15.0871,59.9786,68.1643,46.4571,19.72,46.6667,False,16.106666666666666,63.9,74.59,29.100000000000005,41.0,56.666666666666664,41.6791,NORMAL,-0.7142,"[{""factor"": ""load_score"", ""sub_score"": 68.16, ""contribution"": 13.6329}, {""factor"": ""route_severity_score"", ""sub_score"": 46.46, ""contribution"": 9.2914}, {""factor"": ""engine_hour_score"", ""sub_score"": 59.98, ""contribution"": 8.9968}]",Default,30,2024-02-17,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-19,51.36,46358.16,12.43,79.4,4.78,Medium,0,0.0,4.21,18.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,15.2119,61.9571,72.4,46.7571,14.8457,50.0,False,17.119999999999997,62.14999999999999,79.4,47.800000000000004,0.0,60.0,41.5999,NORMAL,-0.0792,"[{""factor"": ""load_score"", ""sub_score"": 72.4, ""contribution"": 14.48}, {""factor"": ""route_severity_score"", ""sub_score"": 46.76, ""contribution"": 9.3514}, {""factor"": ""engine_hour_score"", ""sub_score"": 61.96, ""contribution"": 9.2936}]",Default,30,2024-02-18,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-20,41.81,46399.97,12.26,62.09,6.14,Medium,0,0.0,5.06,19.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,15.3976,64.6286,68.0929,47.9143,14.8457,53.3333,False,13.936666666666667,61.3,62.09,61.4,0.0,63.33333333333333,41.5559,NORMAL,-0.044,"[{""factor"": ""load_score"", ""sub_score"": 68.09, ""contribution"": 13.6186}, {""factor"": ""engine_hour_score"", ""sub_score"": 64.63, ""contribution"": 9.6943}, {""factor"": ""route_severity_score"", ""sub_score"": 47.91, ""contribution"": 9.5829}]",Default,30,2024-02-19,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-21,36.86,46436.83,6.33,68.2,1.91,Low,3,4.74,5.77,20.0,45508.86,EMERGENCY,0,,INVALID_LOAD,NORMAL,BULLDOZER,14.5448,61.35,66.3071,43.1571,16.6343,56.6667,False,12.286666666666667,31.65,68.2,19.1,40.440000000000005,66.66666666666666,40.3734,NORMAL,-1.1825,"[{""factor"": ""load_score"", ""sub_score"": 66.31, ""contribution"": 13.2614}, {""factor"": ""engine_hour_score"", ""sub_score"": 61.35, ""contribution"": 9.2025}, {""factor"": ""route_severity_score"", ""sub_score"": 43.16, ""contribution"": 8.6314}]",Default,30,2024-02-20,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-22,34.95,46471.78,12.6,88.3,4.3,Medium,1,3.64,4.42,21.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,14.671,60.5714,68.3857,43.3143,17.4486,60.0,False,11.65,63.0,88.3,43.0,25.84,70.0,41.1274,NORMAL,0.754,"[{""factor"": ""load_score"", ""sub_score"": 68.39, ""contribution"": 13.6771}, {""factor"": ""engine_hour_score"", ""sub_score"": 60.57, ""contribution"": 9.0857}, {""factor"": ""route_severity_score"", ""sub_score"": 43.31, ""contribution"": 8.6629}]",Default,30,2024-02-21,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-23,32.51,46504.29,12.08,47.27,7.94,High,2,4.38,5.98,22.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,13.5867,59.0643,65.4,45.8143,22.3457,63.3333,False,10.836666666666666,60.4,47.27,79.4,34.28,73.33333333333333,42.3316,NORMAL,1.2042,"[{""factor"": ""load_score"", ""sub_score"": 65.4, ""contribution"": 13.08}, {""factor"": ""route_severity_score"", ""sub_score"": 45.81, ""contribution"": 9.1629}, {""factor"": ""engine_hour_score"", ""sub_score"": 59.06, ""contribution"": 8.8596}]",Default,30,2024-02-22,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-24,42.73,46547.02,11.86,58.19,2.36,Low,0,0.0,5.31,23.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,13.74,57.3857,68.2914,43.3429,20.2229,66.6667,False,14.243333333333332,59.3,58.19,23.599999999999998,0.0,76.66666666666667,41.7089,NORMAL,-0.6227,"[{""factor"": ""load_score"", ""sub_score"": 68.29, ""contribution"": 13.6583}, {""factor"": ""route_severity_score"", ""sub_score"": 43.34, ""contribution"": 8.6686}, {""factor"": ""engine_hour_score"", ""sub_score"": 57.39, ""contribution"": 8.6079}]",Default,30,2024-02-23,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-25,41.02,46588.04,13.13,45.85,3.81,Medium,0,0.0,6.51,24.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,13.3924,57.6357,64.1857,44.6286,14.3657,70.0,False,13.673333333333334,65.65,45.85,38.1,0.0,80.0,39.5572,NORMAL,-2.1517,"[{""factor"": ""load_score"", ""sub_score"": 64.19, ""contribution"": 12.8371}, {""factor"": ""route_severity_score"", ""sub_score"": 44.63, ""contribution"": 8.9257}, {""factor"": ""engine_hour_score"", ""sub_score"": 57.64, ""contribution"": 8.6454}]",Default,30,2024-02-24,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-26,45.83,46633.88,17.04,97.27,5.2,Medium,0,0.0,5.73,25.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,13.129,60.9286,66.7386,45.2286,14.3657,73.3333,False,15.276666666666666,85.2,97.27,52.0,0.0,83.33333333333334,40.822,NORMAL,1.2648,"[{""factor"": ""load_score"", ""sub_score"": 66.74, ""contribution"": 13.3477}, {""factor"": ""engine_hour_score"", ""sub_score"": 60.93, ""contribution"": 9.1393}, {""factor"": ""route_severity_score"", ""sub_score"": 45.23, ""contribution"": 9.0457}]",Default,30,2024-02-25,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
VH-001,2024-01-27,35.0,46668.88,12.03,67.61,5.17,Medium,1,3.62,2.81,26.0,45508.86,EMERGENCY,0,,,NORMAL,BULLDOZER,12.8048,60.7643,67.5271,43.8429,18.04,76.6667,False,11.666666666666666,60.14999999999999,67.61,51.7,25.72,86.66666666666667,41.9145,NORMAL,1.0925,"[{""factor"": ""load_score"", ""sub_score"": 67.53, ""contribution"": 13.5054}, {""factor"": ""engine_hour_score"", ""sub_score"": 60.76, ""contribution"": 9.1146}, {""factor"": ""route_severity_score"", ""sub_score"": 43.84, ""contribution"": 8.7686}]",Default,30,2024-02-26,ROUTINE,"NORMAL risk: DCSS in [25, 50). Standard 30-day maintenance interval.",prototype
