vehicle_id,date,mileage_km,cumulative_mileage_km,engine_hours,load_percentage,route_severity_score,route_severity_label,fault_count,fault_severity_score,operating_stress_index,days_since_last_service,last_service_mileage_km,service_type_last,breakdown_occurred,breakdown_type,data_quality_flag,scenario_tag
VH-001,2024-01-01,79.86,45508.86,14.67,51.55,1.93,Low,0.0,0.0,2.95,31.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-02,40.49,45549.35,12.85,79.66,4.01,Medium,0.0,0.0,5.0,1.0,45508.86,EMERGENCY,1,ENGINE,,NORMAL
VH-001,2024-01-03,57.15,45606.5,11.94,59.67,4.96,Medium,0.0,0.0,5.33,2.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-04,43.83,45650.33,11.63,57.18,4.5,Medium,0.0,0.0,8.16,3.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-05,48.15,45698.49,13.38,51.31,2.97,Low,0.0,0.0,5.53,4.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-06,48.16,45746.65,10.1,51.34,5.41,Medium,1.0,4.08,5.13,5.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-07,47.12,45793.77,10.77,29.5,7.44,High,0.0,0.0,5.48,6.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-08,55.37,45849.13,9.64,93.91,5.16,Medium,0.0,0.0,4.96,7.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-09,65.79,45914.92,13.54,87.5,3.83,Medium,2.0,6.42,7.02,8.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-10,30.86,45945.78,12.98,57.54,4.63,Medium,1.0,6.77,6.21,9.0,45508.86,EMERGENCY,0,,,NORMAL
VH-001,2024-01-11,44.2,45989.98,9.12,78.96,8.14,High,2.0,4.23,3.85,10.0,45508.86,EMERGENCY,0,,,NORMAL
