vehicle_id,vehicle_type,manufacture_year,vehicle_age_years,max_load_capacity_tonnes,odometer_at_registration,active
VH-001,BULLDOZER,2023,1.0,33.4,45429.0,1
VH-002,HAUL_TRUCK,2018,6.0,208.3,34985.4,1
VH-003,BULLDOZER,2015,9.0,31.3,13293.5,1
VH-004,LOADER,2022,2.0,52.9,48458.8,1
VH-005,HAUL_TRUCK,2020,4.0,218.1,38937.5,1
VH-006,GRADER,2021,3.0,20.5,35844.5,1
VH-007,BULLDOZER,2014,10.0,31.2,22468.1,1
VH-008,BULLDOZER,2017,7.0,26.1,13612.1,1
VH-009,HAUL_TRUCK,2021,3.0,181.8,4819.5,1
VH-010,HAUL_TRUCK,2022,2.0,206.2,45130.1,1
VH-011,HAUL_TRUCK,2018,6.0,192.9,22788.8,1
VH-012,GRADER,2022,2.0,19.1,10118.2,1
VH-013,LOADER,2022,2.0,55.6,15297.8,1
VH-014,BULLDOZER,2017,7.0,24.7,28961.0,1
VH-015,HAUL_TRUCK,2022,2.0,183.5,8838.6,1
VH-016,HAUL_TRUCK,2016,8.0,196.9,42830.7,1
VH-017,LOADER,2016,8.0,38.8,37926.0,1
VH-018,HAUL_TRUCK,2020,4.0,219.7,35973.1,1
VH-019,BULLDOZER,2020,4.0,31.1,21604.7,1
VH-020,LOADER,2015,9.0,53.5,31365.4,1
VH-021,BULLDOZER,2022,2.0,33.3,29204.9,1
VH-022,HAUL_TRUCK,2015,9.0,204.4,32492.3,1
VH-023,GRADER,2022,2.0,23.1,4222.2,1
VH-024,BULLDOZER,2014,10.0,23.3,20790.4,1
VH-025,BULLDOZER,2021,3.0,20.5,2080.7,1
VH-026,HAUL_TRUCK,2021,3.0,185.4,24699.5,1
VH-027,HAUL_TRUCK,2021,3.0,223.3,16493.1,1
VH-028,HAUL_TRUCK,2020,4.0,207.7,7226.2,1
VH-029,HAUL_TRUCK,2018,6.0,189.7,5170.1,1
VH-030,LOADER,2021,3.0,45.0,29382.2,1
VH-031,LOADER,2016,8.0,34.6,8529.6,1
VH-032,GRADER,2021,3.0,22.0,46256.0,1
VH-033,HAUL_TRUCK,2019,5.0,206.8,29053.1,1
VH-034,HAUL_TRUCK,2018,6.0,202.9,17343.5,1
VH-035,HAUL_TRUCK,2019,5.0,198.1,29545.8,1
VH-036,HAUL_TRUCK,2019,5.0,217.8,1140.2,1
VH-037,HAUL_TRUCK,2014,10.0,201.7,47928.0,1
VH-038,HAUL_TRUCK,2015,9.0,185.3,24115.2,1
VH-039,HAUL_TRUCK,2016,8.0,187.1,39136.8,1
VH-040,LOADER,2015,9.0,58.9,4136.5,1
